,initial_ke,mid1_ratio,mid2_ratio,retardation,tof_min,tof_std
0,9.0,0.11248,0.3,-1.0,0.230011,9.927722671727769e-05
0,1.3,0.11248,0.4,-1.0,1.02831,0.00031988482352754156
0,1.6,0.11248,0.4,-1.0,0.761658,0.00021875375580240512
0,101.0,0.11248,0.4,-1.0,0.0662104,2.2071616237494263e-05
0,13.0,0.11248,0.4,-1.0,0.188775,7.72196751087573e-05
0,151.0,0.11248,0.4,-1.0,0.0541242,1.629412419177647e-05
0,17.0,0.11248,0.4,-1.0,0.163946,6.604602001306153e-05
0,2.0,0.11248,0.4,-1.0,0.608001,0.0002098265567213746
0,26.0,0.11248,0.4,-1.0,0.1316,5.3041355964143574e-05
0,3.0,0.11248,0.4,-1.0,0.444027,0.00016894801621774347
0,301.0,0.11248,0.4,-1.0,0.0383348,9.695040246797846e-06
0,5.0,0.11248,0.4,-1.0,0.320926,0.0001237421869512317
0,51.0,0.11248,0.4,-1.0,0.0933965,3.452288591922641e-05
0,7.0,0.11248,0.4,-1.0,0.26433,9.867718860699846e-05
0,76.0,0.11248,0.4,-1.0,0.0763797,2.7252240774462755e-05
0,9.0,0.11248,0.4,-1.0,0.23001,9.774034179040815e-05
0,1.3,0.11248,0.5,-1.0,1.02803,0.00031075569333684867
0,1.6,0.11248,0.5,-1.0,0.761527,0.0002486744828344479
0,101.0,0.11248,0.5,-1.0,0.0662099,2.3603943167142532e-05
0,13.0,0.11248,0.5,-1.0,0.188776,8.167545251502192e-05
0,151.0,0.11248,0.5,-1.0,0.0541238,1.7357867749270588e-05
0,17.0,0.11248,0.5,-1.0,0.163944,6.916453760613501e-05
0,2.0,0.11248,0.5,-1.0,0.607931,0.00023440583131448308
0,26.0,0.11248,0.5,-1.0,0.131599,5.548567343971456e-05
0,3.0,0.11248,0.5,-1.0,0.444009,0.00014958838465007558
0,301.0,0.11248,0.5,-1.0,0.0383346,9.373232266325407e-06
0,5.0,0.11248,0.5,-1.0,0.320914,0.0001238156499161512
0,51.0,0.11248,0.5,-1.0,0.0933963,3.9217498422992414e-05
0,7.0,0.11248,0.5,-1.0,0.264322,0.0001030182726670713
0,76.0,0.11248,0.5,-1.0,0.0763791,2.924338075209975e-05
0,9.0,0.11248,0.5,-1.0,0.230009,9.143708526768043e-05
0,1.3,0.11248,0.6,-1.0,1.02776,0.0003192594471501347
0,1.6,0.11248,0.6,-1.0,0.761409,0.0002246683082075943
0,101.0,0.11248,0.6,-1.0,0.0662098,2.3220208910957772e-05
0,13.0,0.11248,0.6,-1.0,0.18877,7.901517662506774e-05
0,151.0,0.11248,0.6,-1.0,0.0541238,1.7102541799613624e-05
0,17.0,0.11248,0.6,-1.0,0.163943,6.44786639751154e-05
0,2.0,0.11248,0.6,-1.0,0.60787,0.00021528408617971944
0,26.0,0.11248,0.6,-1.0,0.131598,5.1470545171614524e-05
0,3.0,0.11248,0.6,-1.0,0.44398,0.0001507193109174336
0,301.0,0.11248,0.6,-1.0,0.0383345,1.0187138885658764e-05
0,5.0,0.11248,0.6,-1.0,0.320905,0.00012199832618841525
0,51.0,0.11248,0.6,-1.0,0.0933961,3.277593372529849e-05
0,7.0,0.11248,0.6,-1.0,0.264317,0.00011163568654114732
0,76.0,0.11248,0.6,-1.0,0.076379,2.6126673298562198e-05
0,9.0,0.11248,0.6,-1.0,0.230001,9.438565768317399e-05
0,1.3,0.11248,0.7,-1.0,1.0275,0.00030423918963861865
0,1.6,0.11248,0.7,-1.0,0.761292,0.00022836192174099717
0,101.0,0.11248,0.7,-1.0,0.0662102,2.2523863624138984e-05
0,13.0,0.11248,0.7,-1.0,0.188769,8.195657693647551e-05
0,151.0,0.11248,0.7,-1.0,0.0541237,1.5784673847325087e-05
0,17.0,0.11248,0.7,-1.0,0.163942,7.202099614837862e-05
0,2.0,0.11248,0.7,-1.0,0.60781,0.00016977696379421117
0,26.0,0.11248,0.7,-1.0,0.131598,5.227177545594202e-05
0,3.0,0.11248,0.7,-1.0,0.443957,0.00016564772697661074
0,301.0,0.11248,0.7,-1.0,0.0383345,9.4608366533458e-06
0,5.0,0.11248,0.7,-1.0,0.320896,0.0001255418396882209
0,51.0,0.11248,0.7,-1.0,0.0933959,3.692692190196145e-05
0,7.0,0.11248,0.7,-1.0,0.264313,0.00010875497763914132
0,76.0,0.11248,0.7,-1.0,0.0763789,2.9105712653893414e-05
0,9.0,0.11248,0.7,-1.0,0.229998,0.00010069449942668826
0,1.3,0.11248,0.8,-1.0,1.02724,0.0003150083793086565
0,1.6,0.11248,0.8,-1.0,0.761177,0.00024319978640674497
0,101.0,0.11248,0.8,-1.0,0.0662097,2.2827400020686328e-05
0,13.0,0.11248,0.8,-1.0,0.188767,7.106454672566902e-05
0,151.0,0.11248,0.8,-1.0,0.0538066,3.214617134480173e-05
